name,count
0x7405fe24003a50e4f4117d35e9b5a9f5e512fede,0.5
0x7c0bcf284549dca0e465cf5f517004a118d6fb32,0.01
0x7284a8451d9a0e7dc62b3a71c0593ea2ec5c5638,0.66800565
0xaa98e949c8bb2c3789adcab643b0d702979d5740,0.02209134
0xaecce32486bf8f657dd9ae4627048de1a72c41a5,0.03
0x15d146c4c882efedb3ab0f197125110422b7d612,0.05
0x2de26bfac302a1aa48d01dd10a3267aaea944629,1.5419413481802204
0xfe32a37f15ee4a4b59715530e5817d1322b9df80,1.0
0x4e9c104d24ca8aa27c3e1a5d9d3249e96c5bbd80,1.0
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0.2991
0xcc7f6756233a787ac15609837e428f243d42424c,0.02211
0xe8a6e7343f9ff9d5dc6e37bf6844228ea120452a,0.005
0x9d652fc76af187cdc25dc42ee48061a44e2c8d83,0.006
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,0.06
0xff0c0193cee7e4e914c02f6c5f440bee1dfb09a9,0.04467507308496209
0x24f15402c6bb870554489b2fd2049a85d75b982f,0.05
0xdf8621c93a946daa32a9a59be7dad53babe32153,0.5532431
0x5e01e8a7272127e1f291a7338a8a918abf47cc73,0.0455
0x20c708ff28b47a1c51677bfd9d6f563ba032fc79,0.045
0xdab5c5a4efa0d0e19e58a37e901a94977eebd5e2,0.04475
0x10d6d2e343281d388291a3e02f3293aaeda67178,0.3
0xd78226d7dc276354d59faef59ba6f0e4304d47e7,0.44606216322306674
0x10d6d2e343281d388291a3e02f3293aaeda67178,0.3
0xdaab298625c3f256a1ff0adeacab9434ebb26862,0.08884
0xe25684c91cf468ac1af7297ab3af6235f1ca1dc3,0.0073
0x798f73c7df3932f5c429e618c03828627e51ed63,0.025
0xd33577609f71eeb9e72b8b077590f50f9cbbce0a,0.02
0x0040daac32d83c78546ae36da42a496b28ab09e1,0.045
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,100.0
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,100.0
0x63acee543c26802705b06342c4809a0854910d23,0.5
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0.01954125
0x942cbea64876ff0b2e23c0712b37dc0091804e9c,0.22
0x66b9bd3a9f0d44121533f88c94d4e35213222917,0.1
0x708396f17127c42383e3b9014072679b2f60b82f,0.13401096
0x883ab2ae1bdda0531078b27dd45600193aba1f34,0.1
0x9b506c49c9f601c6683d3420cc170e29e5034368,0.05
0x008c2b6e55284a2ea09c62d50a7da4c7c151dec9,0.2
0x68d36dcbdd7bbf206e27134f28103abe7cf972df,0.2
0x3ada13f58d139564f486e5c6f220d6c1a28f72e8,0.1
0x46cf525b5dd56ddc87d324028bd9047fafaadc9f,0.01359429
0x3255db9adfe3d2c95118d58d94c6ee98d4c98933,0.021928285734334432
0xe2f6659e0209c3f79132abdeb95abeba0f1f672f,1.0
0xd551234ae421e3bcba99a0da6d736074f22192ff,0.03888607
0x5c706df623ac1c2090b8b1eaea3a17bae1d4b335,0.025
0x4b83d2ac5af394d041e1794f9f07f9145005b336,0.009259372496647756
0x0b523ca2eea9e2287626dd7b1246e14a68555e41,0.008
0x818662778e0bf8d3929967026830926e2993e004,0.43943102470920653
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0.013
0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b,1.0
0xb75fc2f1a5a3780a6354901a190879777a8c1b4d,1.0803852330593473
0x9af62cd4a1247b4bf19abd7091d3c13e3a0bf9e2,0.025
0x23bc4dc9172d15bbe02e57c0269ecd46c007eb95,0.04403732886041208
0x334c47b68fec97dd6a4572b36937a4b444d4c395,0.02
0xcf1e4c0455e69c3a82c2344648be76c72dbcda06,0.1
0x77fe3f389b50a6e8507440c62b4fa8c23073ee9a,0.2
0xada5d3a5587efe1d36aaa95fc8fbc873c754a600,0.3
